CONCATENADO,TEXTO,CE_GESTOR,TIPO_PROYECTOS,NOMBRE PROYECTO,CLASIF_RED_1,CLASIF_RED_2,RESPONSABLE EA
450065170550,IMPLEMENTACIÓN TI SINGLE RAN 2G/3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065170530,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,DEMETRIO
450065170510,IMPLEMENTACIÓN TI SINGLE RAN 2G/3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065170870,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,DEMETRIO
450065170830,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,DEMETRIO
450065170810,IMPLEMENTACIÓN TI SINGLE RAN 2G/3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065222510,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065311130,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,DEMETRIO
450065311110,IMPLEMENTACIÓN TI SINGLE RAN 2G/3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
4500655246120,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
4500655246100,IMPLEMENTACIÓN TI SINGLE RAN 3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065524690,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065524670,IMPLEMENTACIÓN TI SINGLE RAN 3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065524660,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065524640,IMPLEMENTACIÓN TI SINGLE RAN 3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065524630,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065524610,IMPLEMENTACIÓN TI SINGLE RAN 3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065529860,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Street Cell,RF,Street Cell,DEMETRIO
450065529850,IMPLEMENTACIÓN NAT OUTDOOR,RED_CONS,SOLUCIONES STREET CELLS,Street Cell,RF,Street Cell,DEMETRIO
450065529830,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Street Cell,RF,Street Cell,DEMETRIO
450065563620,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065578160,IMPLEMENTACION PLANTA EXTERNA FO,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065578150,IMPLEMENTACION PLANTA EXTERNA FO,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065578140,IMPLEMENTACION PLANTA EXTERNA FO,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065578130,IMPLEMENTACION PLANTA EXTERNA FO,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065578120,IMPLEMENTACION PLANTA EXTERNA FO,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065578110,IMPLEMENTACION PLANTA EXTERNA FO,RED_IPEXT,FO RED NACIONAL,Red de Fibra Optica Nacional,Transmision,Red de Fibra Optica Nacional,DANNER
450065608940,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,DANNER
450065608930,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,JHORDAN
450065608910,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,JHORDAN
450065671720,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,JENNY
450065759510,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065770620,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,BASEBANDS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,DEMETRIO
450065865670,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,DEMETRIO
450065865650,IMPLEMENTACIÓN TI SINGLE RAN 2G/3G/4G,RED_CONS,SITIOS NUEVOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,JHORDAN
450065945330,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,DEMETRIO
450065929340,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B,RED_CONS,FO ACCESOS,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,DEMETRIO
4500659804110,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,EDWIN
4500660087590,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087580,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087570,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087560,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087550,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087540,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087530,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087520,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087510,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087500,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087490,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087480,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087470,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087460,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087450,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087440,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087430,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087420,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087410,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087400,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087390,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087380,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087370,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087360,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087350,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087340,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087310,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087300,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087290,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087280,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087270,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087260,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087240,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087230,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087220,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087200,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087190,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087180,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087160,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087150,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087140,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087130,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087120,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087110,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660087100,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008790,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008780,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008770,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008760,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008750,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008740,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008730,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008720,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450066008710,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
4500660538820,IMPLEMENTACIÓN DE ENODO B LTE,RED_IMP,RADIOS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,DANNER
450066068450,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066068440,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066068430,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066068420,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066068410,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066068510,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
4500662077120,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,EDWIN
450066207790,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,EDWIN
450066207760,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,EDWIN
450066207730,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,EDWIN
4500663315100,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331590,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331580,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331570,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331560,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331550,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331540,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331530,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331520,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450066331510,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
4500663437110,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
4500663437100,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343790,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343780,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343770,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343760,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343750,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343740,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343730,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343720,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
450066343710,INSTALACIÓN DE ROUTER,RED_IPEXT,IP ACCESO,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,LAURA
4500662555100,IMPLEMENTACIÓN ENLACE MICROONDAS,RED_CONS,MW ACCESO,Sitios Nuevos Macro y Regulatorios,RF,Sitios Nuevos Macro y Regulatorios,EDWIN
